CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
JAN18,1748235,1016672,0.58,1122237,625998,590933,0.94,1433231,540162,10740376,8408912,.78,717474,.07,2.2142782,2608235,5775358
DEC17,1600826,910903,0.57,1076782,524044,494425,0.94,1312911,520487,8674812,6696821,.77,603457,.07,2.1822029,2098402,4579139
NOV17,1748062,1048020,0.6,1106641,641421,606195,0.95,1455845,521148,10755356,8514211,.79,696490,.06,2.1808437,2668913,5820482
OCT17,1738829,1038096,0.6,1112150,626679,591549,0.94,1446468,524302,10531738,8287403,.79,697384,.07,2.1646748,2611377,5652782
SEP17,1649228,990020,0.6,1058267,590961,557849,0.94,1374979,493581,9898588,7725204,.78,671725,.07,2.1794828,2422806,5280464
AUG17,1663305,1004652,0.6,1062319,600986,568266,0.95,1384836,493318,9911161,7775894,.78,670621,.07,2.1905373,2430118,5323264
JUL17,1669675,1001538,0.6,1077139,592536,559980,0.95,1394100,504156,9898177,7798830,.79,666218,.07,2.1691408,2453270,5321488
JUN17,1689768,1028483,0.61,1070134,619634,585915,0.95,1413028,498760,10380709,8179386,.79,708847,.07,2.1688989,2573107,5580809
MAY17,1705329,1019762,0.6,1095129,610200,577181,0.95,1422904,516870,10332866,8182897,.79,697023,.07,2.1822039,2563414,5593892
APR17,1542141,915236,0.59,1008223,533918,505895,0.95,1284679,476051,8823266,6964955,.79,576668,.07,2.1879151,2177946,4765161
MAR17,1764865,1072496,0.61,1108047,656818,620462,0.94,1480331,517510,10689225,8504556,0.8,671108,.06,2.2214633,2630738,5844088
